Year,Month,Close,Volume,Date
2002,5,14.826410781179337,817545.6970371724,2002-05-01
2002,6,14.408778191851125,700657.5181714186,2002-06-01
2002,7,13.621927408679774,540157.6884052384,2002-07-01
2002,8,12.610687644655648,416534.87848857057,2002-08-01
2002,9,11.644684747493743,361321.2023663233,2002-09-01
2002,10,11.055025059670522,359637.2423050374,2002-10-01
2002,11,11.100177940290404,387717.4039294417,2002-11-01
2002,12,11.874447657095086,439549.5094018411,2002-12-01
2003,1,13.320253165560803,524206.91040323616,2003-01-01
2003,2,15.28054437459857,646633.1586555433,2003-02-01
2003,3,17.53434326446049,793532.9194023698,2003-03-01
2003,4,19.86960628767612,936142.8638856863,2003-04-01
2003,5,22.23117946971925,1047589.6998260275,2003-05-01
2003,6,24.836253701695234,1124908.1414892694,2003-06-01
2003,7,28.099040975563153,1200574.96001522,2003-07-01
2003,8,32.32939456244514,1325843.1684937696,2003-08-01
2003,9,37.39075158659377,1532184.8464345888,2003-09-01
2003,10,42.591349934908784,1811590.583983513,2003-10-01
2003,11,46.87067652713051,2133776.791659895,2003-11-01
2003,12,49.11729183880165,2461402.2665453595,2003-12-01
2004,1,48.58384518307273,2739015.7492828863,2004-01-01
2004,2,45.39044079876202,2898139.843387208,2004-02-01
2004,3,40.64812869704531,2906955.168814728,2004-03-01
2004,4,35.76572280236041,2811883.7253282834,2004-04-01
2004,5,31.49559960830499,2713195.5288262675,2004-05-01
2004,6,27.722152822962563,2699949.5841780277,2004-06-01
2004,7,24.07207712679336,2805983.534220868,2004-07-01
2004,8,20.509194485694664,2999913.887104175,2004-08-01
2004,9,17.34208346449977,3183763.214318524,2004-09-01
2004,10,14.876201345100766,3219575.0023963945,2004-10-01
2004,11,13.188515773285136,3017965.602688529,2004-11-01
2004,12,12.162301902967716,2620212.3929871954,2004-12-01
2005,1,11.641343241063682,2173777.580093733,2005-01-01
2005,2,11.555963699875822,1827000.1958377492,2005-02-01
2005,3,11.944088205984396,1645732.0754032289,2005-03-01
2005,4,12.869990505464592,1599303.5560775956,2005-04-01
2005,5,14.33151756751017,1604887.4209175636,2005-05-01
2005,6,16.24275874881144,1595776.9438829068,2005-06-01
2005,7,18.46336490289393,1560254.0070566162,2005-07-01
2005,8,20.79628648123711,1523649.423227929,2005-08-01
2005,9,22.969918234213182,1508261.5069680456,2005-09-01
2005,10,24.69308530305107,1515781.746757097,2005-10-01
2005,11,25.798152557973737,1531405.6694339258,2005-11-01
2005,12,26.357886719663803,1532028.6722178666,2005-12-01
2006,1,26.639704616574004,1498484.2362158499,2006-01-01
2006,2,26.896394112149522,1433610.3954334795,2006-02-01
2006,3,27.156129589664392,1367129.5482344618,2006-03-01
2006,4,27.19996501994354,1334171.7259694852,2006-04-01
2006,5,26.77045735354338,1347609.175878567,2006-05-01
2006,6,25.855432134766307,1388823.782179037,2006-06-01
2006,7,24.799519908067857,1422740.1252175611,2006-07-01
2006,8,24.10896730218729,1426499.064691985,2006-08-01
2006,9,24.071829605803032,1409697.272125668,2006-09-01
2006,10,24.5164421547198,1408437.5681564445,2006-10-01
2006,11,24.946437963630558,1456377.679042799,2006-11-01
2006,12,24.941972430141973,1551337.5912139013,2006-12-01
2007,1,24.448227170262097,1647384.9926611884,2007-01-01
2007,2,23.70156538655106,1694214.474496623,2007-02-01
2007,3,22.935800774008932,1688549.59421899,2007-03-01
2007,4,22.204413716946863,1671051.728829498,2007-04-01
2007,5,21.460901041999527,1669831.9485999085,2007-05-01
