Rank,model_name,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,smoothing,n_lags,n_features,approach,method,alpha,n_poly_features,regularization,n_nonzero_coefs,reduction_method,n_features_reduced,n_features_original
1,LR_sigma3_12lags,0.0210623744678043,0.013904102692426,0.9999999878610052,0.0615818577406231,0.0540975053061898,0.9999992110121112,sigma3,12,24.0,Baseline,LinearRegression,,,,,,,
2,LR_SFS_sigma3_12lags,0.0236419095598105,0.0151758173106573,0.9999999847055744,0.062219090713454,0.0564129669944577,0.9999991945991488,sigma3,12,,DimRed,SFS,,,,,SFS,12.0,24.0
3,LR_SFS_sigma3_9lags,0.023681860671166,0.0151966751851856,0.9999999846782376,0.062366314391161,0.0561150434170527,0.999999190783138,sigma3,9,,DimRed,SFS,,,,,SFS,9.0,18.0
4,LR_sigma3_9lags,0.0230701755880755,0.0152860938635,0.9999999854595156,0.0627125412261615,0.0559657167060859,0.9999991817734576,sigma3,9,18.0,Baseline,LinearRegression,,,,,,,
5,LR_sigma3_6lags,0.0848914287874973,0.0565526962815228,0.9999998034840892,0.2669845390548639,0.2384261348983045,0.9999851701421196,sigma3,6,12.0,Baseline,LinearRegression,,,,,,,
6,LR_SFS_sigma3_6lags,0.0905943958790046,0.0580061760005712,0.9999997761934986,0.2841479008634699,0.2523817063242342,0.999983202151171,sigma3,6,,DimRed,SFS,,,,,SFS,6.0,12.0
7,LR_sigma2_12lags,0.1414567644396021,0.091674108905283,0.9999994628254306,0.5410774017796276,0.4193913560280138,0.9999560324047752,sigma2,12,24.0,Baseline,LinearRegression,,,,,,,
8,LR_SFS_sigma2_12lags,0.1467461239310565,0.0920964321218999,0.9999994219022466,0.5595749706540062,0.4311325837915195,0.9999529748183036,sigma2,12,,DimRed,SFS,,,,,SFS,12.0,24.0
9,LR_sigma2_9lags,0.2593718726420258,0.158044082630396,0.9999981964945966,0.9279083116523158,0.8034254678928764,0.9998706924000822,sigma2,9,18.0,Baseline,LinearRegression,,,,,,,
10,LR_SFS_sigma2_9lags,0.2669786968301979,0.1516546200323597,0.9999980891574196,0.9322894781093986,0.7859289169332958,0.9998694684525556,sigma2,9,,DimRed,SFS,,,,,SFS,9.0,18.0
11,LR_SFS_sigma2_6lags,0.6363318886562674,0.3645756863843514,0.9999891634958428,1.7747883463055312,1.4944090143253457,0.9995269499880552,sigma2,6,,DimRed,SFS,,,,,SFS,6.0,12.0
12,LR_sigma2_6lags,0.6117426444409589,0.3639907805007537,0.9999899848066328,1.7997887949120248,1.4521135199974382,0.9995135289410768,sigma2,6,12.0,Baseline,LinearRegression,,,,,,,
13,LR_SFS_sigma3_3lags,1.1433165275288293,0.6688956158622895,0.999964413029705,2.415487053473724,1.9314944989478653,0.9987861243697108,sigma3,3,,DimRed,SFS,,,,,SFS,3.0,6.0
14,LR_sigma3_3lags,1.1136168946582043,0.7033810278826647,0.999966237882686,2.458256247260528,1.9919883228871784,0.9987427574596393,sigma3,3,6.0,Baseline,LinearRegression,,,,,,,
15,Ridge_sigma3_6lags,1.247584525308683,,,5.1902891004860034,4.264019260864819,0.9943953581918736,sigma3,6,,Polynomial,Ridge (L2),0.01,90.0,Ridge (L2),,,,
16,Ridge_sigma3_3lags,1.7548588228970643,,,6.097293337352827,5.360226960139957,0.9922653806939422,sigma3,3,,Polynomial,Ridge (L2),0.01,27.0,Ridge (L2),,,,
17,LR_SFS_sigma2_3lags,2.8551938081899606,1.6032866007559412,0.9997821447569086,7.558729971901488,6.498458301543803,0.9914195200110034,sigma2,3,,DimRed,SFS,,,,,SFS,3.0,6.0
18,LR_sigma2_3lags,2.8061957547797234,1.6672817018764368,0.9997895578370792,7.560853171193158,6.429825152230106,0.9914146989292152,sigma2,3,6.0,Baseline,LinearRegression,,,,,,,
19,Lasso_sigma3_9lags,2.016911117580245,,,9.687392809167491,7.9403519278730945,0.9804755600762468,sigma3,9,,Polynomial,Lasso (L1),0.01,189.0,Lasso (L1),60.0,,,
20,Lasso_sigma3_12lags,1.930489594755145,,,9.687629962139582,7.230698617940365,0.9804746041254097,sigma3,12,,Polynomial,Lasso (L1),0.01,324.0,Lasso (L1),93.0,,,
21,Lasso_sigma3_6lags,2.459804731597943,,,11.207967463641946,10.209945987638156,0.9738652417294872,sigma3,6,,Polynomial,Lasso (L1),0.01,90.0,Lasso (L1),41.0,,,
22,Lasso_sigma3_3lags,2.696750869917263,,,11.799535967385417,10.047504300090983,0.9710335934843226,sigma3,3,,Polynomial,Lasso (L1),0.01,27.0,Lasso (L1),20.0,,,
23,Ridge_sigma3_9lags,2.4805521883844754,,,12.589500515205607,9.400738622759617,0.967025230811786,sigma3,9,,Polynomial,Ridge (L2),0.1,189.0,Ridge (L2),,,,
24,Ridge_sigma2_6lags,2.050700846906852,,,14.90909726586931,13.125562545641785,0.9666176722187348,sigma2,6,,Polynomial,Ridge (L2),0.01,90.0,Ridge (L2),,,,
25,Lasso_sigma2_3lags,3.500181171393511,,,16.91600947165352,14.45183524066955,0.9570256060886172,sigma2,3,,Polynomial,Lasso (L1),0.01,27.0,Lasso (L1),20.0,,,
26,Lasso_sigma2_6lags,3.0607456679952443,,,17.999948678068215,15.445168190464717,0.9513417534406547,sigma2,6,,Polynomial,Lasso (L1),0.01,90.0,Lasso (L1),37.0,,,
27,Lasso_sigma2_9lags,2.959946307102874,,,18.18508071010162,16.647600176386216,0.950335692197701,sigma2,9,,Polynomial,Lasso (L1),0.01,189.0,Lasso (L1),67.0,,,
28,Ridge_sigma2_3lags,2.66202818269668,,,19.47848368699959,16.09580508005454,0.9430197680244348,sigma2,3,,Polynomial,Ridge (L2),0.01,27.0,Ridge (L2),,,,
29,LR_sigma1_12lags,6.559917333811136,4.020852715351299,0.9988744106481394,22.26951752746463,16.270900476658902,0.958920987362618,sigma1,12,24.0,Baseline,LinearRegression,,,,,,,
30,LR_SFS_sigma1_12lags,6.683977969243448,4.106040214201704,0.9988314339562312,22.3218491202075,16.386042641588855,0.9587276957024548,sigma1,12,,DimRed,SFS,,,,,SFS,12.0,24.0
31,LR_sigma1_6lags,6.978159280012173,4.216505610495129,0.9987295023969692,22.42150311313373,16.7775767079414,0.9583583597343182,sigma1,6,12.0,Baseline,LinearRegression,,,,,,,
32,LR_SFS_sigma1_6lags,7.09026907356785,4.26759507361439,0.99868835131773,22.442263873479607,16.872226037148348,0.9582812094782628,sigma1,6,,DimRed,SFS,,,,,SFS,6.0,12.0
33,Ridge_sigma3_12lags,5.44955860184297,,,22.872470766267107,16.750312496346407,0.8911594001041243,sigma3,12,,Polynomial,Ridge (L2),1.0,324.0,Ridge (L2),,,,
34,LR_SFS_sigma1_9lags,6.697418118968724,4.111692572134149,0.9988279220247496,22.93415710733757,16.680151432463266,0.9564323688873004,sigma1,9,,DimRed,SFS,,,,,SFS,9.0,18.0
35,LR_sigma1_9lags,6.596186287613229,4.066485256789509,0.9988630862881148,23.08768772691792,16.857012430034295,0.9558470973466148,sigma1,9,18.0,Baseline,LinearRegression,,,,,,,
36,LR_CFS_sigma3_3lags,12.907839897978556,8.845367111387857,0.9954640820228224,24.38223056127497,21.998752154031823,0.8763165383351939,sigma3,3,,DimRed,CFS,,,,,CFS,2.0,6.0
37,LR_CFS_sigma3_6lags,13.774570064561194,8.599012639569333,0.9948260034273496,24.40763619543628,22.73801733192704,0.8760586543122492,sigma3,6,,DimRed,CFS,,,,,CFS,2.0,12.0
38,LR_CFS_sigma3_9lags,13.753157607864315,8.877639135163673,0.9948324829784868,24.87408555569436,22.87211479861808,0.8712761525520929,sigma3,9,,DimRed,CFS,,,,,CFS,2.0,18.0
39,LR_CFS_sigma3_12lags,13.688008861922146,8.987584515322926,0.9948731735146542,25.22295608629305,22.91254244026773,0.8676400080779206,sigma3,12,,DimRed,CFS,,,,,CFS,2.0,24.0
40,Lasso_sigma2_12lags,2.761209438304137,,,26.33756825414025,21.70321550706711,0.8958245777982791,sigma2,12,,Polynomial,Lasso (L1),0.01,324.0,Lasso (L1),91.0,,,
41,LR_SFS_sigma1_3lags,10.483672070117874,5.582119378108301,0.997135754245544,29.441954672777097,23.1031035750506,0.9281988070701164,sigma1,3,,DimRed,SFS,,,,,SFS,3.0,6.0
42,LR_sigma1_3lags,10.456883885452717,5.710632752263281,0.997150373152916,29.79376268950426,23.354278755807915,0.9264726203778006,sigma1,3,6.0,Baseline,LinearRegression,,,,,,,
43,LR_CFS_sigma2_12lags,17.2388941385843,10.47658900135122,0.992022132677043,38.03763230351411,36.04889725527098,0.7827094331207908,sigma2,12,,DimRed,CFS,,,,,CFS,2.0,24.0
44,LR_CFS_sigma2_6lags,17.224021608243714,10.207075421013302,0.9920605402770012,38.159589629957466,35.38844838629816,0.7813138331427532,sigma2,6,,DimRed,CFS,,,,,CFS,2.0,12.0
45,LR_CFS_sigma2_9lags,17.240070935941173,10.36678226003868,0.9920319914859942,38.205148406131634,35.871721916832115,0.7807913421155956,sigma2,9,,DimRed,CFS,,,,,CFS,2.0,18.0
46,LR_CFS_sigma2_3lags,17.071288870908095,9.989784649545092,0.9922119370568916,38.27300694080416,34.4159037761702,0.780011950368866,sigma2,3,,DimRed,CFS,,,,,CFS,2.0,6.0
47,Ridge_sigma2_9lags,1.791855559357546,,,38.67364222567305,31.343423872938367,0.7753822505920063,sigma2,9,,Polynomial,Ridge (L2),0.01,189.0,Ridge (L2),,,,
48,LR_PCA_sigma3_3lags,25.834734409520983,17.667670138200748,0.9818295344334662,46.50150617441373,42.79961772741021,0.5501178063744184,sigma3,3,,DimRed,PCA,,,,,PCA,2.0,6.0
49,Lasso_sigma1_3lags,8.511186424536351,,,50.8575972061844,43.57614614346026,0.7857553153373562,sigma1,3,,Polynomial,Lasso (L1),0.01,27.0,Lasso (L1),23.0,,,
50,Lasso_sigma1_9lags,6.089002010626912,,,52.04486947318011,44.78595207982246,0.7756354556943147,sigma1,9,,Polynomial,Lasso (L1),0.01,189.0,Lasso (L1),69.0,,,
