model_name,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,smoothing,n_lags,n_features
LR_sigma3_12lags,0.021062374467804342,0.013904102692426031,0.9999999878610053,0.06158185774062317,0.0540975053061898,0.9999992110121112,sigma3,12,24
LR_sigma3_9lags,0.023070175588075545,0.015286093863500097,0.9999999854595155,0.06271254122616152,0.055965716706085994,0.9999991817734575,sigma3,9,18
LR_sigma3_6lags,0.08489142878749739,0.056552696281522895,0.9999998034840893,0.2669845390548639,0.23842613489830455,0.9999851701421195,sigma3,6,12
LR_sigma2_12lags,0.14145676443960215,0.09167410890528309,0.9999994628254306,0.5410774017796276,0.41939135602801386,0.9999560324047752,sigma2,12,24
LR_sigma2_9lags,0.2593718726420258,0.15804408263039604,0.9999981964945966,0.9279083116523158,0.8034254678928764,0.9998706924000822,sigma2,9,18
LR_sigma2_6lags,0.6117426444409589,0.3639907805007537,0.9999899848066327,1.7997887949120248,1.4521135199974382,0.9995135289410769,sigma2,6,12
LR_sigma3_3lags,1.1136168946582043,0.7033810278826647,0.9999662378826861,2.4582562472605276,1.9919883228871784,0.9987427574596391,sigma3,3,6
LR_sigma2_3lags,2.8061957547797234,1.6672817018764368,0.9997895578370791,7.560853171193158,6.429825152230106,0.9914146989292152,sigma2,3,6
LR_sigma1_12lags,6.559917333811136,4.020852715351299,0.9988744106481394,22.26951752746463,16.270900476658902,0.9589209873626179,sigma1,12,24
LR_sigma1_6lags,6.978159280012173,4.216505610495129,0.9987295023969693,22.421503113133735,16.7775767079414,0.9583583597343182,sigma1,6,12
LR_sigma1_9lags,6.596186287613229,4.066485256789509,0.9988630862881149,23.087687726917917,16.857012430034295,0.9558470973466147,sigma1,9,18
LR_sigma1_3lags,10.456883885452715,5.710632752263281,0.9971503731529161,29.79376268950426,23.354278755807915,0.9264726203778006,sigma1,3,6
LR_raw_9lags,32.50554690461548,18.994034838763856,0.9730242056114935,117.04845363200121,81.51021265279131,0.3418829059691054,raw,9,18
LR_raw_12lags,32.331370009995666,19.111647110324967,0.9732932981127351,121.07191499170443,82.8183389377068,0.2958606194896848,raw,12,24
LR_raw_6lags,32.654722230732126,18.877338279210004,0.9728092645336285,121.28663207113814,83.89792248437334,0.2933608685402953,raw,6,12
LR_raw_3lags,32.75522016562946,18.518848121068938,0.9726677574785456,121.68223238443524,84.24005026215056,0.2887436645608298,raw,3,6
