model_name,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,smoothing,n_lags,n_features,model_type,alpha,n_poly_features,regularization,n_nonzero_coefs
LR_sigma3_12lags,0.021062374467804342,0.013904102692426031,0.9999999878610053,0.06158185774062317,0.0540975053061898,0.9999992110121112,sigma3,12,24.0,Baseline,,,,
LR_sigma3_9lags,0.023070175588075545,0.015286093863500097,0.9999999854595155,0.06271254122616152,0.055965716706085994,0.9999991817734575,sigma3,9,18.0,Baseline,,,,
LR_sigma3_6lags,0.08489142878749739,0.056552696281522895,0.9999998034840893,0.2669845390548639,0.23842613489830455,0.9999851701421195,sigma3,6,12.0,Baseline,,,,
LR_sigma2_12lags,0.14145676443960215,0.09167410890528309,0.9999994628254306,0.5410774017796276,0.41939135602801386,0.9999560324047752,sigma2,12,24.0,Baseline,,,,
LR_sigma2_9lags,0.2593718726420258,0.15804408263039604,0.9999981964945966,0.9279083116523158,0.8034254678928764,0.9998706924000822,sigma2,9,18.0,Baseline,,,,
LR_sigma2_6lags,0.6117426444409589,0.3639907805007537,0.9999899848066327,1.7997887949120248,1.4521135199974382,0.9995135289410769,sigma2,6,12.0,Baseline,,,,
LR_sigma3_3lags,1.1136168946582043,0.7033810278826647,0.9999662378826861,2.4582562472605276,1.9919883228871784,0.9987427574596391,sigma3,3,6.0,Baseline,,,,
Ridge_sigma3_6lags,1.247584525308683,,,5.1902891004860034,4.264019260864819,0.9943953581918736,sigma3,6,,Polynomial,0.01,90.0,Ridge (L2),
Ridge_sigma3_3lags,1.7548588228970643,,,6.097293337352827,5.360226960139957,0.9922653806939422,sigma3,3,,Polynomial,0.01,27.0,Ridge (L2),
LR_sigma2_3lags,2.8061957547797234,1.6672817018764368,0.9997895578370791,7.560853171193158,6.429825152230106,0.9914146989292152,sigma2,3,6.0,Baseline,,,,
Lasso_sigma3_9lags,2.0169111175802446,,,9.687392809167493,7.9403519278730945,0.9804755600762467,sigma3,9,,Polynomial,0.01,189.0,Lasso (L1),60.0
Lasso_sigma3_12lags,1.930489594755145,,,9.687629962139582,7.230698617940365,0.9804746041254097,sigma3,12,,Polynomial,0.01,324.0,Lasso (L1),93.0
Lasso_sigma3_6lags,2.459804731597943,,,11.207967463641946,10.209945987638156,0.9738652417294872,sigma3,6,,Polynomial,0.01,90.0,Lasso (L1),41.0
Lasso_sigma3_3lags,2.696750869917263,,,11.799535967385417,10.047504300090985,0.9710335934843226,sigma3,3,,Polynomial,0.01,27.0,Lasso (L1),20.0
Ridge_sigma3_9lags,2.4805521883844754,,,12.589500515205609,9.400738622759615,0.9670252308117859,sigma3,9,,Polynomial,0.1,189.0,Ridge (L2),
Ridge_sigma2_6lags,2.0507008469068517,,,14.90909726586931,13.125562545641783,0.9666176722187347,sigma2,6,,Polynomial,0.01,90.0,Ridge (L2),
Lasso_sigma2_3lags,3.500181171393511,,,16.91600947165352,14.45183524066955,0.9570256060886173,sigma2,3,,Polynomial,0.01,27.0,Lasso (L1),20.0
Lasso_sigma2_6lags,3.0607456679952443,,,17.999948678068215,15.445168190464715,0.9513417534406547,sigma2,6,,Polynomial,0.01,90.0,Lasso (L1),37.0
Lasso_sigma2_9lags,2.959946307102874,,,18.18508071010162,16.647600176386216,0.950335692197701,sigma2,9,,Polynomial,0.01,189.0,Lasso (L1),67.0
Ridge_sigma2_3lags,2.66202818269668,,,19.47848368699959,16.09580508005454,0.9430197680244349,sigma2,3,,Polynomial,0.01,27.0,Ridge (L2),
LR_sigma1_12lags,6.559917333811136,4.020852715351299,0.9988744106481394,22.26951752746463,16.270900476658902,0.9589209873626179,sigma1,12,24.0,Baseline,,,,
LR_sigma1_6lags,6.978159280012173,4.216505610495129,0.9987295023969693,22.421503113133735,16.7775767079414,0.9583583597343182,sigma1,6,12.0,Baseline,,,,
Ridge_sigma3_12lags,5.44955860184297,,,22.872470766267107,16.750312496346407,0.8911594001041243,sigma3,12,,Polynomial,1.0,324.0,Ridge (L2),
LR_sigma1_9lags,6.596186287613229,4.066485256789509,0.9988630862881149,23.087687726917917,16.857012430034295,0.9558470973466147,sigma1,9,18.0,Baseline,,,,
Lasso_sigma2_12lags,2.7612094383041375,,,26.337568254140255,21.70321550706711,0.8958245777982791,sigma2,12,,Polynomial,0.01,324.0,Lasso (L1),91.0
LR_sigma1_3lags,10.456883885452715,5.710632752263281,0.9971503731529161,29.79376268950426,23.354278755807915,0.9264726203778006,sigma1,3,6.0,Baseline,,,,
Ridge_sigma2_9lags,1.791855559357546,,,38.67364222567305,31.343423872938367,0.7753822505920063,sigma2,9,,Polynomial,0.01,189.0,Ridge (L2),
Lasso_sigma1_3lags,8.511186424536351,,,50.8575972061844,43.57614614346026,0.7857553153373562,sigma1,3,,Polynomial,0.01,27.0,Lasso (L1),23.0
Lasso_sigma1_9lags,6.089002010626912,,,52.04486947318011,44.78595207982246,0.7756354556943147,sigma1,9,,Polynomial,0.01,189.0,Lasso (L1),69.0
Lasso_sigma1_12lags,9.267278483470134,,,52.353022465894966,46.048857294755656,0.7729707055192033,sigma1,12,,Polynomial,0.1,324.0,Lasso (L1),44.0
Lasso_sigma1_6lags,16.645724110380563,,,53.42287664910219,38.80707108765096,0.7635970347649036,sigma1,6,,Polynomial,1.0,90.0,Lasso (L1),14.0
Ridge_sigma1_3lags,8.131123124977956,,,55.09155686192478,47.9534399511225,0.7485981487735657,sigma1,3,,Polynomial,0.01,27.0,Ridge (L2),
Ridge_sigma2_12lags,15.570472097453646,,,64.39879896951724,50.30667125662897,0.377170095135424,sigma2,12,,Polynomial,10.0,324.0,Ridge (L2),
Ridge_sigma1_9lags,4.637079779396868,,,64.4530578832331,47.234743324225796,0.6558993970278242,sigma1,9,,Polynomial,0.01,189.0,Ridge (L2),
Ridge_sigma1_6lags,5.810201538469835,,,71.02190315930324,54.9035224597977,0.5821859962923486,sigma1,6,,Polynomial,0.01,90.0,Ridge (L2),
Ridge_sigma1_12lags,3.421328895281088,,,100.5527402715726,72.00374485804706,0.16249732786752447,sigma1,12,,Polynomial,0.01,324.0,Ridge (L2),
LR_raw_9lags,32.50554690461548,18.994034838763856,0.9730242056114935,117.04845363200121,81.51021265279131,0.3418829059691054,raw,9,18.0,Baseline,,,,
LR_raw_12lags,32.331370009995666,19.111647110324967,0.9732932981127351,121.07191499170443,82.8183389377068,0.2958606194896848,raw,12,24.0,Baseline,,,,
LR_raw_6lags,32.654722230732126,18.877338279210004,0.9728092645336285,121.28663207113814,83.89792248437334,0.2933608685402953,raw,6,12.0,Baseline,,,,
LR_raw_3lags,32.75522016562946,18.518848121068938,0.9726677574785456,121.68223238443524,84.24005026215056,0.2887436645608298,raw,3,6.0,Baseline,,,,
Lasso_raw_3lags,37.89061779929642,,,127.53014299232711,92.30570239919943,0.21873655604632147,raw,3,,Polynomial,10.0,27.0,Lasso (L1),2.0
Ridge_raw_3lags,34.2197708589362,,,127.53392171760683,113.32530619759994,0.2186902576012144,raw,3,,Polynomial,10.0,27.0,Ridge (L2),
Lasso_raw_6lags,38.02905006512019,,,127.62448923270706,92.40808991754272,0.21758017792503948,raw,6,,Polynomial,10.0,90.0,Lasso (L1),3.0
Lasso_raw_12lags,38.39975370183656,,,127.63651898439362,92.38408676324383,0.21743267081526207,raw,12,,Polynomial,10.0,324.0,Lasso (L1),3.0
Lasso_raw_9lags,38.2127903928389,,,127.63662934587133,92.41203275193992,0.2174313175141085,raw,9,,Polynomial,10.0,189.0,Lasso (L1),3.0
Ridge_raw_9lags,29.741626779103342,,,140.38532210758055,109.72122940117879,0.05329381146857792,raw,9,,Polynomial,10.0,189.0,Ridge (L2),
Ridge_raw_6lags,32.523700453263984,,,147.2704019890299,119.05130950823758,-0.04184414405006054,raw,6,,Polynomial,10.0,90.0,Ridge (L2),
Ridge_raw_12lags,26.487422256921167,,,148.5410811509858,113.41911060409865,-0.05990019399215196,raw,12,,Polynomial,10.0,324.0,Ridge (L2),
