model_name,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,smoothing,n_lags,reduction_method,n_features_reduced,n_features_original
LR_SFS_sigma3_12lags,0.023641909559810582,0.015175817310657352,0.9999999847055745,0.06221909071345405,0.05641296699445775,0.9999991945991488,sigma3,12,SFS,12,24
LR_SFS_sigma3_9lags,0.023681860671166077,0.015196675185185608,0.9999999846782377,0.06236631439116101,0.056115043417052715,0.9999991907831379,sigma3,9,SFS,9,18
LR_SFS_sigma3_6lags,0.09059439587900468,0.058006176000571216,0.9999997761934986,0.2841479008634699,0.25238170632423423,0.999983202151171,sigma3,6,SFS,6,12
LR_SFS_sigma2_12lags,0.14674612393105654,0.09209643212189993,0.9999994219022466,0.5595749706540062,0.43113258379151953,0.9999529748183037,sigma2,12,SFS,12,24
LR_SFS_sigma2_9lags,0.2669786968301979,0.15165462003235972,0.9999980891574197,0.9322894781093986,0.7859289169332958,0.9998694684525555,sigma2,9,SFS,9,18
LR_SFS_sigma2_6lags,0.6363318886562674,0.3645756863843514,0.9999891634958429,1.7747883463055312,1.4944090143253457,0.9995269499880551,sigma2,6,SFS,6,12
LR_SFS_sigma3_3lags,1.1433165275288293,0.6688956158622895,0.999964413029705,2.415487053473724,1.9314944989478653,0.9987861243697109,sigma3,3,SFS,3,6
LR_SFS_sigma2_3lags,2.8551938081899606,1.6032866007559412,0.9997821447569086,7.558729971901488,6.498458301543803,0.9914195200110034,sigma2,3,SFS,3,6
LR_SFS_sigma1_12lags,6.683977969243448,4.106040214201704,0.9988314339562313,22.3218491202075,16.386042641588855,0.9587276957024548,sigma1,12,SFS,12,24
LR_SFS_sigma1_6lags,7.09026907356785,4.26759507361439,0.99868835131773,22.442263873479607,16.872226037148348,0.9582812094782628,sigma1,6,SFS,6,12
LR_SFS_sigma1_9lags,6.697418118968724,4.111692572134149,0.9988279220247496,22.93415710733757,16.680151432463266,0.9564323688873005,sigma1,9,SFS,9,18
LR_CFS_sigma3_3lags,12.907839897978556,8.845367111387857,0.9954640820228223,24.382230561274966,21.998752154031823,0.8763165383351939,sigma3,3,CFS,2,6
LR_CFS_sigma3_6lags,13.774570064561194,8.599012639569333,0.9948260034273495,24.40763619543628,22.73801733192704,0.8760586543122492,sigma3,6,CFS,2,12
LR_CFS_sigma3_9lags,13.753157607864317,8.877639135163673,0.9948324829784867,24.874085555694357,22.872114798618078,0.8712761525520929,sigma3,9,CFS,2,18
LR_CFS_sigma3_12lags,13.688008861922146,8.987584515322926,0.9948731735146542,25.22295608629305,22.91254244026773,0.8676400080779206,sigma3,12,CFS,2,24
LR_SFS_sigma1_3lags,10.483672070117874,5.582119378108301,0.997135754245544,29.441954672777097,23.1031035750506,0.9281988070701163,sigma1,3,SFS,3,6
LR_CFS_sigma2_12lags,17.2388941385843,10.47658900135122,0.992022132677043,38.03763230351411,36.04889725527098,0.7827094331207908,sigma2,12,CFS,2,24
LR_CFS_sigma2_6lags,17.224021608243714,10.207075421013302,0.9920605402770013,38.159589629957466,35.38844838629816,0.7813138331427532,sigma2,6,CFS,2,12
LR_CFS_sigma2_9lags,17.240070935941173,10.36678226003868,0.9920319914859942,38.205148406131634,35.871721916832115,0.7807913421155956,sigma2,9,CFS,2,18
LR_CFS_sigma2_3lags,17.071288870908095,9.989784649545092,0.9922119370568915,38.27300694080416,34.4159037761702,0.780011950368866,sigma2,3,CFS,2,6
LR_PCA_sigma3_3lags,25.834734409520983,17.667670138200748,0.9818295344334662,46.50150617441373,42.79961772741021,0.5501178063744184,sigma3,3,PCA,2,6
LR_CFS_sigma1_12lags,24.671069202630726,13.945345642607231,0.9840794089854799,66.8933040193968,53.38266368576563,0.6293502812084024,sigma1,12,CFS,2,24
LR_CFS_sigma1_9lags,24.624190102985683,13.747900240074696,0.9841559723987574,67.41637162947309,53.19412035550406,0.6235310781942034,sigma1,9,CFS,2,18
LR_CFS_sigma1_6lags,24.51811335406655,13.652291478668461,0.9843156620755679,67.60492237291272,53.001817242431464,0.6214223097445144,sigma1,6,CFS,2,12
LR_CFS_sigma1_3lags,24.4227012661429,13.373347485022737,0.9844557126085584,67.69957102316052,52.38436452688386,0.6203615304724925,sigma1,3,CFS,2,6
