model_name,alpha,train_rmse,val_rmse,val_mae,val_r2,smoothing,n_lags,n_poly_features,regularization,n_nonzero_coefs
Ridge_sigma3_6lags,0.01,1.247584525308683,5.1902891004860034,4.264019260864819,0.9943953581918736,sigma3,6,90,Ridge (L2),
Ridge_sigma3_3lags,0.01,1.7548588228970643,6.097293337352827,5.360226960139957,0.9922653806939422,sigma3,3,27,Ridge (L2),
Lasso_sigma3_9lags,0.01,2.0169111175802446,9.687392809167493,7.9403519278730945,0.9804755600762467,sigma3,9,189,Lasso (L1),60.0
Lasso_sigma3_12lags,0.01,1.930489594755145,9.687629962139582,7.230698617940365,0.9804746041254097,sigma3,12,324,Lasso (L1),93.0
Lasso_sigma3_6lags,0.01,2.459804731597943,11.207967463641946,10.209945987638156,0.9738652417294872,sigma3,6,90,Lasso (L1),41.0
Lasso_sigma3_3lags,0.01,2.696750869917263,11.799535967385417,10.047504300090985,0.9710335934843226,sigma3,3,27,Lasso (L1),20.0
Ridge_sigma3_9lags,0.1,2.4805521883844754,12.589500515205609,9.400738622759615,0.9670252308117859,sigma3,9,189,Ridge (L2),
Ridge_sigma2_6lags,0.01,2.0507008469068517,14.90909726586931,13.125562545641783,0.9666176722187347,sigma2,6,90,Ridge (L2),
Lasso_sigma2_3lags,0.01,3.500181171393511,16.91600947165352,14.45183524066955,0.9570256060886173,sigma2,3,27,Lasso (L1),20.0
Lasso_sigma2_6lags,0.01,3.0607456679952443,17.999948678068215,15.445168190464715,0.9513417534406547,sigma2,6,90,Lasso (L1),37.0
Lasso_sigma2_9lags,0.01,2.959946307102874,18.18508071010162,16.647600176386216,0.950335692197701,sigma2,9,189,Lasso (L1),67.0
Ridge_sigma2_3lags,0.01,2.66202818269668,19.47848368699959,16.09580508005454,0.9430197680244349,sigma2,3,27,Ridge (L2),
Ridge_sigma3_12lags,1.0,5.44955860184297,22.872470766267107,16.750312496346407,0.8911594001041243,sigma3,12,324,Ridge (L2),
Lasso_sigma2_12lags,0.01,2.7612094383041375,26.337568254140255,21.70321550706711,0.8958245777982791,sigma2,12,324,Lasso (L1),91.0
Ridge_sigma2_9lags,0.01,1.791855559357546,38.67364222567305,31.343423872938367,0.7753822505920063,sigma2,9,189,Ridge (L2),
Lasso_sigma1_3lags,0.01,8.511186424536351,50.8575972061844,43.57614614346026,0.7857553153373562,sigma1,3,27,Lasso (L1),23.0
Lasso_sigma1_9lags,0.01,6.089002010626912,52.04486947318011,44.78595207982246,0.7756354556943147,sigma1,9,189,Lasso (L1),69.0
Lasso_sigma1_12lags,0.1,9.267278483470134,52.353022465894966,46.048857294755656,0.7729707055192033,sigma1,12,324,Lasso (L1),44.0
Lasso_sigma1_6lags,1.0,16.645724110380563,53.42287664910219,38.80707108765096,0.7635970347649036,sigma1,6,90,Lasso (L1),14.0
Ridge_sigma1_3lags,0.01,8.131123124977956,55.09155686192478,47.9534399511225,0.7485981487735657,sigma1,3,27,Ridge (L2),
Ridge_sigma2_12lags,10.0,15.570472097453646,64.39879896951724,50.30667125662897,0.377170095135424,sigma2,12,324,Ridge (L2),
Ridge_sigma1_9lags,0.01,4.637079779396868,64.4530578832331,47.234743324225796,0.6558993970278242,sigma1,9,189,Ridge (L2),
Ridge_sigma1_6lags,0.01,5.810201538469835,71.02190315930324,54.9035224597977,0.5821859962923486,sigma1,6,90,Ridge (L2),
Ridge_sigma1_12lags,0.01,3.421328895281088,100.5527402715726,72.00374485804706,0.16249732786752447,sigma1,12,324,Ridge (L2),
Lasso_raw_3lags,10.0,37.89061779929642,127.53014299232711,92.30570239919943,0.21873655604632147,raw,3,27,Lasso (L1),2.0
Ridge_raw_3lags,10.0,34.2197708589362,127.53392171760683,113.32530619759994,0.2186902576012144,raw,3,27,Ridge (L2),
Lasso_raw_6lags,10.0,38.02905006512019,127.62448923270706,92.40808991754272,0.21758017792503948,raw,6,90,Lasso (L1),3.0
Lasso_raw_12lags,10.0,38.39975370183656,127.63651898439362,92.38408676324383,0.21743267081526207,raw,12,324,Lasso (L1),3.0
Lasso_raw_9lags,10.0,38.2127903928389,127.63662934587133,92.41203275193992,0.2174313175141085,raw,9,189,Lasso (L1),3.0
Ridge_raw_9lags,10.0,29.741626779103342,140.38532210758055,109.72122940117879,0.05329381146857792,raw,9,189,Ridge (L2),
Ridge_raw_6lags,10.0,32.523700453263984,147.2704019890299,119.05130950823758,-0.04184414405006054,raw,6,90,Ridge (L2),
Ridge_raw_12lags,10.0,26.487422256921167,148.5410811509858,113.41911060409865,-0.05990019399215196,raw,12,324,Ridge (L2),
